# Definition of the community standard for skyglow observations 1.0
# URL: http://www.darksky.org/NSBM/sdf1.0.pdf
# Number of header lines: 35
# This data is released under the following license: ODbL 1.0 http://opendatacommons.org/licenses/odbl/summary/
# Device type: SQM-LE
# Instrument ID: SQM_LE-mac_uni
# Data supplier: Department of Physiacs and Astronomy / Macquarie University
# Location name: Sydney/NSW/Australia- Macquarie University Observatory
# Position: -33.7738, 151.1126, 75
# Local timezone: UTC+10
# Time Synchronization: NTP
# Moving / Stationary position: STATIONARY
# Moving / Fixed look direction: FIXED
# Number of channels: 1
# Filters per channel: HOYA CM-500
# Measurement direction per channel: 0., 0.
# Field of view: 20
# Number of fields per line: 6
# SQM serial number: 3255
# SQM firmware version: 36
# SQM cover offset value: -0.11
# SQM readout test ix: i,00000004,00000003,00000036,00003255
# SQM readout test rx: r, 00.00m,0000594747Hz,0000000000c,0000000.000s, 037.3C
# SQM readout test cx: c,00000019.81m,0000157.488s, 021.9C,00000008.71m, 024.8C
# Comment:
# Comment:
# Comment:
# Comment:
# Comment: Capture program: PySQM
# blank line 30
# blank line 31
# blank line 32
# UTC Date & Time, Local Date & Time, Temperature, Counts, Frequency, MSAS
# YYYY-MM-DDTHH:mm:ss.fff;YYYY-MM-DDTHH:mm:ss.fff;Celsius;number;Hz;mag/arcsec^2
# END OF HEADER
2016-09-05T06:52:09.000;2016-09-05T16:52:09.000;38.60;0.000;595039.800;-0.000
2016-09-05T06:52:57.000;2016-09-05T16:52:57.000;38.60;0.000;594626.000;-0.000
2016-09-05T06:53:46.000;2016-09-05T16:53:46.000;38.60;0.000;594623.000;-0.000
2016-09-05T06:54:33.000;2016-09-05T16:54:33.000;38.54;0.000;594635.800;-0.000
2016-09-05T06:55:17.000;2016-09-05T16:55:17.000;38.60;0.000;594670.200;-0.000
2016-09-05T06:56:00.000;2016-09-05T16:56:00.000;38.60;0.000;594719.000;-0.000
2016-09-05T06:56:48.000;2016-09-05T16:56:48.000;38.48;0.000;594658.000;-0.000
2016-09-05T06:57:34.000;2016-09-05T16:57:34.000;38.42;0.000;594664.000;-0.000
2016-09-05T06:58:18.000;2016-09-05T16:58:18.000;38.48;0.000;594668.200;-0.000
2016-09-05T06:59:01.000;2016-09-05T16:59:01.000;38.54;0.000;594707.800;-0.000
2016-09-05T06:59:48.000;2016-09-05T16:59:48.000;38.48;0.000;594708.200;-0.000
2016-09-05T07:00:34.000;2016-09-05T17:00:34.000;38.36;0.000;594694.200;-0.000
2016-09-05T07:01:21.000;2016-09-05T17:01:21.000;38.30;0.000;594708.600;-0.000
2016-09-05T07:02:08.000;2016-09-05T17:02:08.000;38.30;0.000;594319.400;-0.000
2016-09-05T07:02:52.000;2016-09-05T17:02:52.000;38.30;0.000;585295.200;-0.000
2016-09-05T07:03:35.000;2016-09-05T17:03:35.000;38.24;0.000;576599.000;-0.000
2016-09-05T07:04:22.000;2016-09-05T17:04:22.000;38.30;0.000;566325.800;-0.000
2016-09-05T07:05:08.000;2016-09-05T17:05:08.000;38.18;0.000;556170.600;-0.000
2016-09-05T07:05:52.000;2016-09-05T17:05:52.000;38.06;0.000;545414.800;-0.000
2016-09-05T07:06:35.000;2016-09-05T17:06:35.000;38.18;0.000;536587.400;-0.000
2016-09-05T07:07:22.000;2016-09-05T17:07:22.000;38.06;0.000;526253.400;-0.000
2016-09-05T07:08:08.000;2016-09-05T17:08:08.000;38.00;0.000;515842.600;-0.000
2016-09-05T07:08:52.000;2016-09-05T17:08:52.000;38.12;0.000;504898.400;-0.000
2016-09-05T07:09:35.000;2016-09-05T17:09:35.000;38.06;0.000;495802.600;-0.000
2016-09-05T07:10:22.000;2016-09-05T17:10:22.000;38.00;0.000;484940.000;-0.000
2016-09-05T07:11:09.000;2016-09-05T17:11:09.000;38.06;0.000;473788.800;-0.000
2016-09-05T07:11:53.000;2016-09-05T17:11:53.000;37.94;0.000;462175.000;-0.000
2016-09-05T07:12:36.000;2016-09-05T17:12:36.000;38.00;0.000;452765.600;-0.000
2016-09-05T07:13:23.000;2016-09-05T17:13:23.000;37.94;0.000;441628.400;-0.000
2016-09-05T07:14:11.000;2016-09-05T17:14:11.000;37.88;0.000;430344.600;-0.000
2016-09-05T07:14:58.000;2016-09-05T17:14:58.000;37.82;0.000;418080.400;-0.000
2016-09-05T07:15:43.000;2016-09-05T17:15:43.000;37.88;0.000;406886.800;-0.000
2016-09-05T07:16:28.000;2016-09-05T17:16:28.000;37.82;0.000;396478.600;5.825
2016-09-05T07:17:14.000;2016-09-05T17:17:14.000;37.70;0.000;383945.600;5.856
2016-09-05T07:17:59.000;2016-09-05T17:17:59.000;37.70;0.000;373413.200;5.888
2016-09-05T07:18:46.000;2016-09-05T17:18:46.000;37.70;0.000;361653.000;5.924
2016-09-05T07:19:30.000;2016-09-05T17:19:30.000;37.62;0.000;349207.600;5.960
2016-09-05T07:20:13.000;2016-09-05T17:20:13.000;37.70;0.000;339136.600;5.992
2016-09-05T07:21:00.000;2016-09-05T17:21:00.000;37.70;0.000;327543.000;6.036
2016-09-05T07:21:47.000;2016-09-05T17:21:47.000;37.62;0.000;315931.800;6.072
2016-09-05T07:22:31.000;2016-09-05T17:22:31.000;37.62;0.000;303664.800;6.116
2016-09-05T07:23:14.000;2016-09-05T17:23:14.000;37.54;0.000;293654.600;6.154
2016-09-05T07:24:01.000;2016-09-05T17:24:01.000;37.30;0.000;282135.600;6.196
2016-09-05T07:24:47.000;2016-09-05T17:24:47.000;37.38;0.000;270512.800;6.240
2016-09-05T07:25:31.000;2016-09-05T17:25:31.000;37.46;0.000;258314.600;6.288
2016-09-05T07:26:14.000;2016-09-05T17:26:14.000;37.30;0.000;248541.000;6.332
2016-09-05T07:27:01.000;2016-09-05T17:27:01.000;37.30;0.000;237199.200;6.378
2016-09-05T07:27:48.000;2016-09-05T17:27:48.000;37.38;0.000;225814.600;6.432
2016-09-05T07:28:32.000;2016-09-05T17:28:32.000;37.30;0.000;213904.000;6.494
2016-09-05T07:29:15.000;2016-09-05T17:29:15.000;37.24;0.000;204484.800;6.540
2016-09-05T07:30:02.000;2016-09-05T17:30:02.000;37.12;0.000;193655.000;6.600
2016-09-05T07:30:49.000;2016-09-05T17:30:49.000;37.30;0.000;183065.200;6.660
2016-09-05T07:31:33.000;2016-09-05T17:31:33.000;37.06;0.000;172150.400;6.728
2016-09-05T07:32:15.000;2016-09-05T17:32:15.000;37.18;0.000;163226.200;6.786
2016-09-05T07:33:00.000;2016-09-05T17:33:00.000;37.00;0.000;153767.600;6.852
2016-09-05T07:33:48.000;2016-09-05T17:33:48.000;37.12;0.000;143234.800;6.930
2016-09-05T07:34:38.000;2016-09-05T17:34:38.000;37.06;0.000;132741.400;7.012
2016-09-05T07:35:25.000;2016-09-05T17:35:25.000;37.00;0.000;123845.800;7.084
2016-09-05T07:36:12.000;2016-09-05T17:36:12.000;37.06;0.000;114776.400;7.168
2016-09-05T07:36:59.000;2016-09-05T17:36:59.000;37.00;0.000;106067.800;7.256
2016-09-05T07:37:46.000;2016-09-05T17:37:46.000;37.00;0.000;96219.800;7.360
2016-09-05T07:38:29.000;2016-09-05T17:38:29.000;36.94;0.000;90048.200;7.434
2016-09-05T07:39:14.000;2016-09-05T17:39:14.000;36.94;0.000;82228.200;7.534
2016-09-05T07:40:01.000;2016-09-05T17:40:01.000;36.88;0.000;75434.600;7.628
2016-09-05T07:40:45.000;2016-09-05T17:40:45.000;36.94;0.000;68232.400;7.738
2016-09-05T07:41:28.000;2016-09-05T17:41:28.000;36.88;0.000;62695.600;7.824
2016-09-05T07:42:15.000;2016-09-05T17:42:15.000;36.76;0.000;56622.600;7.935
2016-09-05T07:43:01.000;2016-09-05T17:43:01.000;36.82;0.000;50818.800;8.055
2016-09-05T07:43:45.000;2016-09-05T17:43:45.000;36.70;0.000;45071.400;8.185
2016-09-05T07:44:28.000;2016-09-05T17:44:28.000;36.70;0.000;40712.000;8.295
2016-09-05T07:45:15.000;2016-09-05T17:45:15.000;36.70;0.000;35986.000;8.429
2016-09-05T07:46:02.000;2016-09-05T17:46:02.000;36.70;0.000;31632.400;8.569
2016-09-05T07:46:46.000;2016-09-05T17:46:46.000;36.70;0.000;27519.600;8.719
2016-09-05T07:47:29.000;2016-09-05T17:47:29.000;36.70;0.000;24529.200;8.845
2016-09-05T07:48:16.000;2016-09-05T17:48:16.000;36.64;0.000;21365.800;8.995
2016-09-05T07:49:03.000;2016-09-05T17:49:03.000;36.70;0.000;18508.800;9.153
2016-09-05T07:49:47.000;2016-09-05T17:49:47.000;36.52;0.000;15836.000;9.319
2016-09-05T07:50:30.000;2016-09-05T17:50:30.000;36.40;0.000;13889.600;9.460
2016-09-05T07:51:17.000;2016-09-05T17:51:17.000;36.40;0.000;11869.400;9.630
2016-09-05T07:52:03.000;2016-09-05T17:52:03.000;36.40;0.000;10067.800;9.815
2016-09-05T07:52:47.000;2016-09-05T17:52:47.000;36.40;0.000;8421.400;10.004
2016-09-05T07:53:30.000;2016-09-05T17:53:30.000;36.40;0.000;7267.600;10.162
2016-09-05T07:54:17.000;2016-09-05T17:54:17.000;36.40;0.000;6119.800;10.352
2016-09-05T07:55:03.000;2016-09-05T17:55:03.000;36.40;0.000;5128.600;10.544
2016-09-05T07:55:47.000;2016-09-05T17:55:47.000;36.40;0.000;4232.200;10.754
2016-09-05T07:56:30.000;2016-09-05T17:56:30.000;36.40;0.000;3613.600;10.922
2016-09-05T07:57:17.000;2016-09-05T17:57:17.000;36.40;0.000;3013.200;11.120
2016-09-05T07:58:03.000;2016-09-05T17:58:03.000;36.16;0.000;2510.400;11.322
2016-09-05T07:58:47.000;2016-09-05T17:58:47.000;36.32;0.000;2067.200;11.528
2016-09-05T07:59:30.000;2016-09-05T17:59:30.000;36.24;0.000;1760.000;11.702
2016-09-05T08:00:17.000;2016-09-05T18:00:17.000;36.40;0.000;1458.400;11.908
2016-09-05T08:01:03.000;2016-09-05T18:01:03.000;36.16;0.000;1204.200;12.120
2016-09-05T08:01:47.000;2016-09-05T18:01:47.000;36.32;0.000;981.400;12.336
2016-09-05T08:02:30.000;2016-09-05T18:02:30.000;36.24;0.000;830.000;12.520
2016-09-05T08:03:17.000;2016-09-05T18:03:17.000;36.40;0.000;684.200;12.732
2016-09-05T08:04:03.000;2016-09-05T18:04:03.000;36.08;0.000;562.200;12.946
2016-09-05T08:04:47.000;2016-09-05T18:04:47.000;36.08;0.000;455.800;13.170
2016-09-05T08:05:30.000;2016-09-05T18:05:30.000;36.00;0.000;383.800;13.358
2016-09-05T08:06:18.000;2016-09-05T18:06:18.000;36.00;0.000;314.800;13.572
2016-09-05T08:07:04.000;2016-09-05T18:07:04.000;36.00;0.000;257.800;13.788
2016-09-05T08:07:48.000;2016-09-05T18:07:48.000;36.00;0.000;208.600;14.016
2016-09-05T08:08:30.000;2016-09-05T18:08:30.000;36.00;0.000;174.200;14.214
2016-09-05T08:09:15.000;2016-09-05T18:09:15.000;36.00;0.000;144.400;14.416
2016-09-05T08:10:00.000;2016-09-05T18:10:00.000;36.00;4029.250;117.600;14.634
2016-09-05T08:10:42.000;2016-09-05T18:10:42.000;36.00;4606.800;101.000;14.804
2016-09-05T08:11:27.000;2016-09-05T18:11:27.000;35.94;5605.400;82.600;15.022
2016-09-05T08:12:13.000;2016-09-05T18:12:13.000;36.00;6668.400;69.800;15.210
2016-09-05T08:12:57.000;2016-09-05T18:12:57.000;35.94;8042.200;57.800;15.410
2016-09-05T08:13:40.000;2016-09-05T18:13:40.000;36.00;9336.200;49.800;15.570
2016-09-05T08:14:27.000;2016-09-05T18:14:27.000;36.00;11029.000;42.200;15.754
2016-09-05T08:15:14.000;2016-09-05T18:15:14.000;35.88;12976.200;35.800;15.933
2016-09-05T08:15:58.000;2016-09-05T18:15:58.000;35.82;15253.000;30.229;16.109
2016-09-05T08:16:41.000;2016-09-05T18:16:41.000;35.88;17295.200;26.789;16.245
2016-09-05T08:17:28.000;2016-09-05T18:17:28.000;35.70;19908.200;23.209;16.393
2016-09-05T08:18:15.000;2016-09-05T18:18:15.000;35.70;22779.800;20.200;16.545
2016-09-05T08:18:59.000;2016-09-05T18:18:59.000;35.70;25991.800;17.696;16.687
2016-09-05T08:19:42.000;2016-09-05T18:19:42.000;35.70;28983.000;15.892;16.807
2016-09-05T08:20:29.000;2016-09-05T18:20:29.000;35.70;32470.600;14.183;16.929
2016-09-05T08:21:15.000;2016-09-05T18:21:15.000;35.70;36339.600;12.706;17.051
2016-09-05T08:21:59.000;2016-09-05T18:21:59.000;35.70;40355.800;11.452;17.163
2016-09-05T08:22:48.000;2016-09-05T18:22:48.000;35.70;44945.200;10.232;17.282
2016-09-05T08:23:34.000;2016-09-05T18:23:34.000;35.70;49141.600;9.392;17.381
2016-09-05T08:24:17.000;2016-09-05T18:24:17.000;35.70;53211.000;8.673;17.470
2016-09-05T08:25:04.000;2016-09-05T18:25:04.000;35.70;57787.400;7.979;17.558
2016-09-05T08:25:50.000;2016-09-05T18:25:50.000;35.70;61844.800;7.456;17.630
2016-09-05T08:26:34.000;2016-09-05T18:26:34.000;35.70;67255.800;6.862;17.718
2016-09-05T08:27:17.000;2016-09-05T18:27:17.000;35.70;71535.600;6.446;17.786
2016-09-05T08:28:04.000;2016-09-05T18:28:04.000;35.70;75263.800;6.123;17.838
2016-09-05T08:28:50.000;2016-09-05T18:28:50.000;35.70;79044.000;5.828;17.894
2016-09-05T08:29:34.000;2016-09-05T18:29:34.000;35.70;84210.600;5.472;17.960
2016-09-05T08:30:17.000;2016-09-05T18:30:17.000;35.70;87937.800;5.244;18.010
2016-09-05T08:31:04.000;2016-09-05T18:31:04.000;35.70;92672.200;4.972;18.078
2016-09-05T08:31:51.000;2016-09-05T18:31:51.000;35.70;96674.200;4.767;18.124
2016-09-05T08:32:35.000;2016-09-05T18:32:35.000;35.70;97174.000;4.752;18.131
2016-09-05T08:33:18.000;2016-09-05T18:33:18.000;35.70;102896.600;4.477;18.192
2016-09-05T08:34:05.000;2016-09-05T18:34:05.000;35.70;105739.000;4.356;18.218
2016-09-05T08:34:51.000;2016-09-05T18:34:51.000;35.70;108572.400;4.245;18.250
2016-09-05T08:35:35.000;2016-09-05T18:35:35.000;35.70;110682.000;4.167;18.272
2016-09-05T08:36:18.000;2016-09-05T18:36:18.000;35.70;113358.200;4.065;18.298
2016-09-05T08:37:05.000;2016-09-05T18:37:05.000;35.70;114755.200;4.019;18.312
2016-09-05T08:37:51.000;2016-09-05T18:37:51.000;35.64;117288.000;3.925;18.336
2016-09-05T08:38:35.000;2016-09-05T18:38:35.000;35.58;119107.000;3.868;18.354
2016-09-05T08:39:18.000;2016-09-05T18:39:18.000;35.40;122043.600;3.777;18.376
2016-09-05T08:40:05.000;2016-09-05T18:40:05.000;35.40;123276.000;3.740;18.388
2016-09-05T08:40:53.000;2016-09-05T18:40:53.000;35.40;121845.200;3.780;18.376
2016-09-05T08:41:37.000;2016-09-05T18:41:37.000;35.40;124446.800;3.704;18.400
2016-09-05T08:42:20.000;2016-09-05T18:42:20.000;35.40;125395.800;3.674;18.408
2016-09-05T08:43:07.000;2016-09-05T18:43:07.000;35.40;126137.400;3.655;18.412
