# Definition of the community standard for skyglow observations 1.0
# URL: http://www.darksky.org/NSBM/sdf1.0.pdf
# Number of header lines: 35
# This data is released under the following license: ODbL 1.0 http://opendatacommons.org/licenses/odbl/summary/
# Device type: SQM-LE
# Instrument ID: SQM_LE-mac_uni
# Data supplier: Department of Physics and Astronomy / Macquarie University
# Location name: Sydney/NSW/Australia- Macquarie University Observatory
# Position: -33.770269, 151.111135, 75
# Local timezone: UTC+10
# Time Synchronization: NTP
# Moving / Stationary position: STATIONARY
# Moving / Fixed look direction: FIXED
# Number of channels: 1
# Filters per channel: HOYA CM-500
# Measurement direction per channel: 0., 0.
# Field of view: 20
# Number of fields per line: 6
# SQM serial number: 3255
# SQM firmware version: 36
# SQM cover offset value: -0.11
# SQM readout test ix: i,00000004,00000003,00000036,00003255
# SQM readout test rx: r, 00.00m,0000594934Hz,0000000000c,0000000.000s, 039.3C
# SQM readout test cx: c,00000019.81m,0000157.488s, 021.9C,00000008.71m, 024.8C
# Comment:
# Comment:
# Comment:
# Comment:
# Comment: Capture program: PySQM
# blank line 30
# blank line 31
# blank line 32
# UTC Date & Time, Local Date & Time, Temperature, Counts, Frequency, MSAS
# YYYY-MM-DDTHH:mm:ss.fff;YYYY-MM-DDTHH:mm:ss.fff;Celsius;number;Hz;mag/arcsec^2
# END OF HEADER
2016-10-29T07:32:42.000;2016-10-29T17:32:42.000;40.22;0.000;595049.200;-0.000
2016-10-29T07:33:28.000;2016-10-29T17:33:28.000;41.82;0.000;594822.600;-0.000
2016-10-29T07:34:11.000;2016-10-29T17:34:11.000;41.82;0.000;594831.400;-0.000
2016-10-29T07:34:58.000;2016-10-29T17:34:58.000;41.66;0.000;594820.000;-0.000
2016-10-29T07:35:44.000;2016-10-29T17:35:44.000;41.82;0.000;594828.000;-0.000
2016-10-29T07:36:28.000;2016-10-29T17:36:28.000;41.66;0.000;594870.800;-0.000
2016-10-29T07:37:11.000;2016-10-29T17:37:11.000;41.66;0.000;594820.800;-0.000
2016-10-29T07:37:58.000;2016-10-29T17:37:58.000;41.66;0.000;594741.000;-0.000
2016-10-29T07:38:44.000;2016-10-29T17:38:44.000;41.58;0.000;594844.400;-0.000
2016-10-29T07:39:28.000;2016-10-29T17:39:28.000;41.50;0.000;594858.600;-0.000
2016-10-29T07:40:11.000;2016-10-29T17:40:11.000;41.50;0.000;594852.400;-0.000
2016-10-29T07:40:58.000;2016-10-29T17:40:58.000;41.50;0.000;594865.200;-0.000
2016-10-29T07:41:45.000;2016-10-29T17:41:45.000;41.44;0.000;594857.200;-0.000
2016-10-29T07:42:29.000;2016-10-29T17:42:29.000;41.44;0.000;594892.800;-0.000
2016-10-29T07:43:12.000;2016-10-29T17:43:12.000;41.44;0.000;594912.600;-0.000
2016-10-29T07:43:59.000;2016-10-29T17:43:59.000;41.44;0.000;594915.400;-0.000
2016-10-29T07:44:46.000;2016-10-29T17:44:46.000;41.44;0.000;594917.400;-0.000
2016-10-29T07:45:30.000;2016-10-29T17:45:30.000;41.32;0.000;594909.600;-0.000
2016-10-29T07:46:13.000;2016-10-29T17:46:13.000;41.38;0.000;594912.400;-0.000
2016-10-29T07:47:00.000;2016-10-29T17:47:00.000;41.20;0.000;594936.000;-0.000
2016-10-29T07:47:46.000;2016-10-29T17:47:46.000;41.20;0.000;594900.000;-0.000
2016-10-29T07:48:30.000;2016-10-29T17:48:30.000;41.26;0.000;594954.600;-0.000
2016-10-29T07:49:13.000;2016-10-29T17:49:13.000;41.20;0.000;594929.600;-0.000
2016-10-29T07:50:00.000;2016-10-29T17:50:00.000;41.20;0.000;594934.600;-0.000
2016-10-29T07:50:47.000;2016-10-29T17:50:47.000;41.20;0.000;594930.000;-0.000
2016-10-29T07:51:31.000;2016-10-29T17:51:31.000;41.20;0.000;594943.800;-0.000
2016-10-29T07:52:14.000;2016-10-29T17:52:14.000;41.20;0.000;594903.800;-0.000
2016-10-29T07:53:01.000;2016-10-29T17:53:01.000;41.20;0.000;594843.400;-0.000
2016-10-29T07:53:47.000;2016-10-29T17:53:47.000;41.14;0.000;594848.200;-0.000
2016-10-29T07:54:31.000;2016-10-29T17:54:31.000;40.96;0.000;594877.000;-0.000
2016-10-29T07:55:14.000;2016-10-29T17:55:14.000;41.02;0.000;594934.000;-0.000
2016-10-29T07:56:01.000;2016-10-29T17:56:01.000;41.02;0.000;594928.800;-0.000
2016-10-29T07:56:47.000;2016-10-29T17:56:47.000;41.02;0.000;594936.000;-0.000
2016-10-29T07:57:31.000;2016-10-29T17:57:31.000;41.02;0.000;588566.000;-0.000
2016-10-29T07:58:14.000;2016-10-29T17:58:14.000;41.02;0.000;573086.800;-0.000
2016-10-29T07:59:01.000;2016-10-29T17:59:01.000;40.96;0.000;560719.000;-0.000
2016-10-29T07:59:47.000;2016-10-29T17:59:47.000;40.96;0.000;549138.200;-0.000
2016-10-29T08:00:31.000;2016-10-29T18:00:31.000;41.02;0.000;526951.200;-0.000
2016-10-29T08:01:14.000;2016-10-29T18:01:14.000;41.14;0.000;506765.200;-0.000
2016-10-29T08:02:02.000;2016-10-29T18:02:02.000;40.90;0.000;490012.600;-0.000
2016-10-29T08:02:48.000;2016-10-29T18:02:48.000;40.90;0.000;474119.200;-0.000
2016-10-29T08:03:32.000;2016-10-29T18:03:32.000;40.90;0.000;453554.800;-0.000
2016-10-29T08:04:14.000;2016-10-29T18:04:14.000;40.90;0.000;436124.200;-0.000
2016-10-29T08:04:59.000;2016-10-29T18:04:59.000;40.90;0.000;420744.400;-0.000
2016-10-29T08:05:44.000;2016-10-29T18:05:44.000;40.84;0.000;408063.200;-0.000
2016-10-29T08:06:26.000;2016-10-29T18:06:26.000;40.90;0.000;391640.800;5.840
2016-10-29T08:07:11.000;2016-10-29T18:07:11.000;40.84;0.000;367110.200;5.908
2016-10-29T08:07:57.000;2016-10-29T18:07:57.000;40.90;0.000;347522.200;5.966
2016-10-29T08:08:41.000;2016-10-29T18:08:41.000;40.90;0.000;333070.200;6.014
2016-10-29T08:09:24.000;2016-10-29T18:09:24.000;40.96;0.000;326623.000;6.036
2016-10-29T08:10:11.000;2016-10-29T18:10:11.000;40.90;0.000;321434.200;6.054
