# Definition of the community standard for skyglow observations 1.0
# URL: http://www.darksky.org/NSBM/sdf1.0.pdf
# Number of header lines: 35
# This data is released under the following license: ODbL 1.0 http://opendatacommons.org/licenses/odbl/summary/
# Device type: SQM-LE
# Instrument ID: SQM_LE-mac_uni
# Data supplier: Department of Physics and Astronomy / Macquarie University
# Location name: Sydney/NSW/Australia- Macquarie University Observatory
# Position: -33.770269, 151.111135, 75
# Local timezone: UTC+10
# Time Synchronization: NTP
# Moving / Stationary position: STATIONARY
# Moving / Fixed look direction: FIXED
# Number of channels: 1
# Filters per channel: HOYA CM-500
# Measurement direction per channel: 0., 0.
# Field of view: 20
# Number of fields per line: 6
# SQM serial number: 3255
# SQM firmware version: 36
# SQM cover offset value: -0.11
# SQM readout test ix: i,00000004,00000003,00000036,00003255
# SQM readout test rx: r, 00.00m,0000593951Hz,0000000000c,0000000.000s, 051.2C
# SQM readout test cx: c,00000019.81m,0000157.488s, 021.9C,00000008.71m, 024.8C
# Comment:
# Comment:
# Comment:
# Comment:
# Comment: Capture program: PySQM
# blank line 30
# blank line 31
# blank line 32
# UTC Date & Time, Local Date & Time, Temperature, Counts, Frequency, MSAS
# YYYY-MM-DDTHH:mm:ss.fff;YYYY-MM-DDTHH:mm:ss.fff;Celsius;number;Hz;mag/arcsec^2
# END OF HEADER
2017-05-24T06:01:37.000;2017-05-24T16:01:37.000;37.84;0.000;595470.000;-0.000
2017-05-24T06:02:24.000;2017-05-24T16:02:24.000;39.96;0.000;592212.800;-0.000
2017-05-24T06:03:08.000;2017-05-24T16:03:08.000;39.90;0.000;587554.600;-0.000
2017-05-24T06:03:51.000;2017-05-24T16:03:51.000;39.84;0.000;583484.000;-0.000
2017-05-24T06:04:38.000;2017-05-24T16:04:38.000;39.84;0.000;578066.600;-0.000
2017-05-24T06:05:24.000;2017-05-24T16:05:24.000;39.90;0.000;573043.200;-0.000
2017-05-24T06:06:08.000;2017-05-24T16:06:08.000;39.90;0.000;568050.800;-0.000
2017-05-24T06:06:51.000;2017-05-24T16:06:51.000;39.78;0.000;563854.200;-0.000
2017-05-24T06:07:38.000;2017-05-24T16:07:38.000;39.78;0.000;559005.200;-0.000
2017-05-24T06:08:24.000;2017-05-24T16:08:24.000;39.90;0.000;553825.600;-0.000
2017-05-24T06:09:08.000;2017-05-24T16:09:08.000;39.84;0.000;548186.200;-0.000
2017-05-24T06:09:51.000;2017-05-24T16:09:51.000;39.90;0.000;543492.400;-0.000
2017-05-24T06:10:38.000;2017-05-24T16:10:38.000;39.78;0.000;538213.000;-0.000
2017-05-24T06:11:24.000;2017-05-24T16:11:24.000;39.84;0.000;532981.000;-0.000
2017-05-24T06:12:08.000;2017-05-24T16:12:08.000;39.90;0.000;527350.400;-0.000
2017-05-24T06:12:51.000;2017-05-24T16:12:51.000;39.84;0.000;522589.000;-0.000
2017-05-24T06:13:38.000;2017-05-24T16:13:38.000;39.84;0.000;517024.200;-0.000
2017-05-24T06:14:25.000;2017-05-24T16:14:25.000;39.84;0.000;511464.000;-0.000
2017-05-24T06:15:09.000;2017-05-24T16:15:09.000;39.78;0.000;505207.200;-0.000
2017-05-24T06:15:51.000;2017-05-24T16:15:51.000;39.90;0.000;500037.200;-0.000
2017-05-24T06:16:36.000;2017-05-24T16:16:36.000;39.66;0.000;494325.400;-0.000
2017-05-24T06:17:24.000;2017-05-24T16:17:24.000;39.72;0.000;487872.800;-0.000
2017-05-24T06:18:13.000;2017-05-24T16:18:13.000;39.72;0.000;481817.200;-0.000
2017-05-24T06:19:00.000;2017-05-24T16:19:00.000;39.66;0.000;475556.200;-0.000
2017-05-24T06:19:44.000;2017-05-24T16:19:44.000;39.78;0.000;468678.200;-0.000
2017-05-24T06:20:27.000;2017-05-24T16:20:27.000;39.66;0.000;463085.800;-0.000
2017-05-24T06:21:14.000;2017-05-24T16:21:14.000;39.60;0.000;456541.400;-0.000
2017-05-24T06:22:00.000;2017-05-24T16:22:00.000;39.66;0.000;449841.600;-0.000
2017-05-24T06:22:44.000;2017-05-24T16:22:44.000;39.66;0.000;442729.400;-0.000
2017-05-24T06:23:27.000;2017-05-24T16:23:27.000;39.72;0.000;436765.400;-0.000
2017-05-24T06:24:14.000;2017-05-24T16:24:14.000;39.66;0.000;430018.400;-0.000
2017-05-24T06:25:00.000;2017-05-24T16:25:00.000;39.60;0.000;423045.600;-0.000
2017-05-24T06:25:44.000;2017-05-24T16:25:44.000;39.66;0.000;415491.800;-0.000
2017-05-24T06:26:27.000;2017-05-24T16:26:27.000;39.72;0.000;409325.200;-0.000
2017-05-24T06:27:14.000;2017-05-24T16:27:14.000;39.60;0.000;402143.800;-0.000
2017-05-24T06:28:00.000;2017-05-24T16:28:00.000;39.60;0.000;394152.200;5.828
2017-05-24T06:28:46.000;2017-05-24T16:28:46.000;39.66;0.000;386713.400;5.848
2017-05-24T06:29:33.000;2017-05-24T16:29:33.000;39.66;0.000;379708.800;5.866
2017-05-24T06:30:17.000;2017-05-24T16:30:17.000;39.66;0.000;371640.400;5.892
2017-05-24T06:31:01.000;2017-05-24T16:31:01.000;39.60;0.000;365226.400;5.912
2017-05-24T06:31:45.000;2017-05-24T16:31:45.000;39.60;0.000;357110.400;5.936
2017-05-24T06:32:27.000;2017-05-24T16:32:27.000;39.60;0.000;349944.800;5.962
2017-05-24T06:33:10.000;2017-05-24T16:33:10.000;39.48;0.000;343602.400;5.982
2017-05-24T06:33:57.000;2017-05-24T16:33:57.000;39.60;0.000;334819.400;6.008
2017-05-24T06:34:42.000;2017-05-24T16:34:42.000;39.60;0.000;327318.800;6.032
2017-05-24T06:35:27.000;2017-05-24T16:35:27.000;39.60;0.000;319079.800;6.062
2017-05-24T06:36:14.000;2017-05-24T16:36:14.000;39.36;0.000;311058.800;6.090
2017-05-24T06:36:58.000;2017-05-24T16:36:58.000;39.24;0.000;302196.800;6.122
2017-05-24T06:37:41.000;2017-05-24T16:37:41.000;39.30;0.000;295036.200;6.148
2017-05-24T06:38:28.000;2017-05-24T16:38:28.000;39.48;0.000;286594.600;6.178
2017-05-24T06:39:15.000;2017-05-24T16:39:15.000;39.36;0.000;278016.400;6.210
2017-05-24T06:39:59.000;2017-05-24T16:39:59.000;39.30;0.000;268896.200;6.246
2017-05-24T06:40:42.000;2017-05-24T16:40:42.000;39.30;0.000;261510.000;6.276
2017-05-24T06:41:29.000;2017-05-24T16:41:29.000;39.30;0.000;252895.400;6.310
2017-05-24T06:42:15.000;2017-05-24T16:42:15.000;39.30;0.000;244226.800;6.350
2017-05-24T06:42:59.000;2017-05-24T16:42:59.000;39.36;0.000;235090.000;6.390
2017-05-24T06:43:41.000;2017-05-24T16:43:41.000;39.36;0.000;227423.600;6.424
2017-05-24T06:44:26.000;2017-05-24T16:44:26.000;39.30;0.000;219122.600;6.466
2017-05-24T06:45:14.000;2017-05-24T16:45:14.000;39.30;0.000;209715.800;6.514
2017-05-24T06:46:04.000;2017-05-24T16:46:04.000;39.30;0.000;200277.600;6.564
2017-05-24T06:46:57.000;2017-05-24T16:46:57.000;39.24;0.000;189774.600;6.620
2017-05-24T06:47:42.000;2017-05-24T16:47:42.000;39.18;0.000;181337.000;6.670
2017-05-24T06:48:26.000;2017-05-24T16:48:26.000;39.06;0.000;174367.800;6.716
2017-05-24T06:49:11.000;2017-05-24T16:49:11.000;39.24;0.000;165128.200;6.772
2017-05-24T06:49:57.000;2017-05-24T16:49:57.000;39.18;0.000;157468.600;6.828
2017-05-24T06:50:41.000;2017-05-24T16:50:41.000;39.06;0.000;148539.800;6.892
2017-05-24T06:51:24.000;2017-05-24T16:51:24.000;39.24;0.000;141445.200;6.946
2017-05-24T06:52:11.000;2017-05-24T16:52:11.000;39.06;0.000;133307.600;7.008
